"","BTV.1-2006_12h.
"ENSOARG00000006007",1,1,1,"F11R"
"ENSOARG00000013122",1,1,1,"MGAT2"
"ENSOARG00000000229",1,1,1,"SLC31A2"
"ENSOARG00000006730",1,1,1,"DUSP16"
"ENSOARG00000004500",1,1,1,"VAX2"
"ENSOARG00000011396",1,1,1,"RGS17"
"ENSOARG00000011007",1,1,1,"B2M"
"ENSOARG00000005918",1,1,1,"MGAT1"
"ENSOARG00000016589",1,1,1,"VWCE"
"ENSOARG00000013812",1,1,1,"NGF"
"ENSOARG00000009357",1,1,1,"-"
"ENSOARG00000014957",1,1,1,"RNF8"
"ENSOARG00000001015",1,1,1,"USP25"
"ENSOARG00000005574",1,1,1,"AK2"
"ENSOARG00000006250",1,1,1,"FBXL7"
"ENSOARG00000000878",1,1,1,"THSD1"
"ENSOARG00000001087",1,1,1,"ANGPT1"
"ENSOARG00000017827",1,1,1,"-"
"ENSOARG00000015965",1,1,1,"TINAGL1"
"ENSOARG00000015628",1,1,1,"CHCHD7"
"ENSOARG00000001202",1,1,1,"TBC1D1"
"ENSOARG00000013568",1,1,1,"THEM6"
"ENSOARG00000009583",1,1,1,"MORC3"
"ENSOARG00000004435",1,1,1,"MED1"
"ENSOARG00000020630",1,1,1,"SLK"
"ENSOARG00000015272",1,1,1,"FST"
"ENSOARG00000000257",1,1,1,"GM2A"
"ENSOARG00000001022",1,1,1,"IFNAR2"
"ENSOARG00000001148",1,1,1,"SEC23B"
"ENSOARG00000004077",1,1,1,"NOA1"
"ENSOARG00000017662",1,1,1,"-"
"ENSOARG00000018018",1,1,1,"FOSL1"
"ENSOARG00000010352",1,1,1,"ZDHHC16"
"ENSOARG00000018669",1,1,1,"MED25"
"ENSOARG00000006823",1,1,1,"-"
"ENSOARG00000010453",1,1,1,"TMEM50A"
"ENSOARG00000017604",1,1,1,"EIF5"
"ENSOARG00000020867",1,1,1,"PREB"
"ENSOARG00000020153",1,1,1,"TNIP1"
"ENSOARG00000008831",1,1,1,"SERPING1"
"ENSOARG00000011854",1,1,1,"-"
"ENSOARG00000016807",1,1,1,"SIK3"
"ENSOARG00000016854",1,1,1,"-"
"ENSOARG00000001151",1,1,1,"CUEDC1"
"ENSOARG00000001711",1,1,1,"TDRD7"
"ENSOARG00000018429",1,1,1,"SLC15A3"
"ENSOARG00000004206",1,1,1,"COA4"
"ENSOARG00000012102",1,1,1,"DENND2D"
"ENSOARG00000003457",1,1,1,"EXO1"
"ENSOARG00000014948",1,1,1,"SETDB1"
"ENSOARG00000010578",1,1,1,"-"
"ENSOARG00000008850",1,1,1,"S1PR2"
"ENSOARG00000009599",1,1,1,"NGFR"
"ENSOARG00000001872",1,1,1,"RNF139"
"ENSOARG00000001602",1,1,1,"NLGN2"
"ENSOARG00000001924",1,1,1,"TOR1AIP1"
"ENSOARG00000004162",1,1,1,"UNC93B1"
"ENSOARG00000014752",1,1,1,"PHACTR1"
"ENSOARG00000019406",1,1,1,"-"
"ENSOARG00000012528",1,1,1,"CMTR1"
"ENSOARG00000009157",1,1,1,"-"
"ENSOARG00000018948",1,1,1,"PI15"
"ENSOARG00000008038",1,1,1,"NAMPT"
"ENSOARG00000018022",1,1,1,"THOC7"
"ENSOARG00000021084",1,1,1,"PLA2G7"
"ENSOARG00000016174",1,1,1,"-"
"ENSOARG00000010628",1,1,1,"MTF2"
"ENSOARG00000011371",1,1,1,"GLS"
"ENSOARG00000007148",1,1,1,"BAK1"
"ENSOARG00000006163",1,1,1,"CRTC3"
"ENSOARG00000007513",1,1,1,"ZYG11B"
"ENSOARG00000013874",1,1,1,"-"
"ENSOARG00000011383",1,1,1,"EFNB2"
"ENSOARG00000002615",1,1,1,"PCDH9"
"ENSOARG00000002144",1,1,1,"HSPA2"
"ENSOARG00000018341",1,1,1,"TPM3"
"ENSOARG00000015959",1,1,1,"METAP1"
"ENSOARG00000008407",1,1,1,"KCNK6"
"ENSOARG00000013799",1,1,1,"HMGXB3"
"ENSOARG00000009262",1,1,1,"KIFC3"
"ENSOARG00000019342",1,0,1,"SRRD"
"ENSOARG00000001814",1,0,1,"MID2"
"ENSOARG00000014336",1,0,1,"AP5B1"
"ENSOARG00000020861",1,0,1,"DNAJA2"
"ENSOARG00000004227",1,0,1,"ELF2"
"ENSOARG00000004800",1,0,1,"UBA7"
"ENSOARG00000017342",1,1,0,"DUSP6"
"ENSOARG00000016276",1,0,1,"PLK3"
"ENSOARG00000013960",1,0,1,"TCAF2"
"ENSOARG00000009376",1,0,1,"ANKRD17"
"ENSOARG00000019905",1,0,1,"-"
"ENSOARG00000020160",1,0,1,"LGALS8"
"ENSOARG00000004658",1,0,1,"-"
"ENSOARG00000019712",1,0,1,"-"
"ENSOARG00000012334",1,0,1,"RCHY1"
"ENSOARG00000019645",1,1,0,"SKIL"
"ENSOARG00000015792",1,0,1,"CSTF2"
"ENSOARG00000001138",1,0,1,"ETV6"
"ENSOARG00000020981",1,0,1,"HFE"
"ENSOARG00000006166",1,1,0,"BEND5"
"ENSOARG00000007524",1,0,1,"-"
"ENSOARG00000012413",1,0,1,"CHST12"
"ENSOARG00000014899",1,0,1,"CCND2"
"ENSOARG00000011910",1,0,1,"ADAR"
"ENSOARG00000020709",1,1,0,"RBFOX2"
"ENSOARG00000001152",1,0,1,"SUGT1"
"ENSOARG00000014804",1,1,0,"TPST1"
"ENSOARG00000013880",1,0,1,"AKAP10"
"ENSOARG00000013556",1,0,1,"CGNL1"
"ENSOARG00000009280",1,1,0,"-"
"ENSOARG00000000832",1,0,1,"ADRA1D"
"ENSOARG00000003782",1,0,1,"DTX3L"
"ENSOARG00000016716",1,1,0,"ITPRIPL2"
"ENSOARG00000012485",1,0,1,"DPP9"
"ENSOARG00000016027",1,0,1,"EDEM2"
"ENSOARG00000020868",1,1,0,"SAMHD1"
"ENSOARG00000014997",1,0,1,"CREM"
"ENSOARG00000005082",1,0,1,"TMEM150C"
"ENSOARG00000019141",1,0,1,"TRIP12"
"ENSOARG00000008102",1,1,0,"ABR"
"ENSOARG00000011287",1,0,1,"PSME2"
"ENSOARG00000006721",1,0,1,"ZNF800"
"ENSOARG00000009072",1,1,0,"ARHGEF5"
"ENSOARG00000014140",1,0,1,"NOSTRIN"
"ENSOARG00000013835",1,0,1,"CPNE8"
"ENSOARG00000014698",1,0,1,"BAZ1B"
"ENSOARG00000012943",1,0,1,"-"
"ENSOARG00000005633",1,0,1,"DHPS"
"ENSOARG00000001845",1,0,1,"-"
"ENSOARG00000015814",1,0,1,"EXT1"
"ENSOARG00000018590",1,1,0,"POLD3"
"ENSOARG00000014035",1,1,0,"SH3BP2"
"ENSOARG00000018199",1,0,1,"MAPKAPK5"
"ENSOARG00000003629",1,0,1,"-"
"ENSOARG00000020894",1,0,1,"MMAA"
"ENSOARG00000002952",1,0,1,"ALDH1A3"
"ENSOARG00000016931",1,0,1,"-"
"ENSOARG00000000251",1,1,0,"METTL1"
"ENSOARG00000010732",1,0,1,"-"
"ENSOARG00000020614",1,0,1,"ASCC3"
"ENSOARG00000011086",1,1,0,"CHST11"
"ENSOARG00000020074",1,0,1,"HSPB8"
"ENSOARG00000012638",1,0,1,"CLOCK"
"ENSOARG00000015226",1,0,1,"DUSP15"
"ENSOARG00000009854",1,0,1,"FAM222B"
"ENSOARG00000006911",1,0,1,"FNTA"
"ENSOARG00000011627",1,0,1,"-"
"ENSOARG00000016886",1,1,0,"TOPORS"
"ENSOARG00000003694",1,0,1,"LRP10"
"ENSOARG00000014581",1,0,1,"MDN1"
"ENSOARG00000016981",1,0,1,"TCIRG1"
"ENSOARG00000008705",1,0,1,"NDUFAF5"
"ENSOARG00000007928",1,0,1,"NEK5"
"ENSOARG00000007615",1,0,1,"ISOC1"
"ENSOARG00000010903",1,1,0,"MICAL2"
"ENSOARG00000009908",1,0,1,"RFFL"
"ENSOARG00000007255",1,0,1,"-"
"ENSOARG00000009740",1,0,1,"ADAMTS3"
"ENSOARG00000013097",1,0,1,"-"
"ENSOARG00000015019",1,0,1,"BRD2"
"ENSOARG00000002372",1,0,1,"MIER1"
"ENSOARG00000000654",1,1,0,"CCNB3"
"ENSOARG00000020117",1,0,1,"LMO2"
"ENSOARG00000010283",1,0,1,"UBA6"
"ENSOARG00000006624",1,0,1,"EIF2AK2"
"ENSOARG00000004806",1,1,0,"MAPK1IP1L"
"ENSOARG00000000201",1,0,1,"DSN1"
"ENSOARG00000000985",1,0,1,"TMEM206"
"ENSOARG00000006570",1,1,0,"MOV10"
"ENSOARG00000002164",1,0,1,"FAM73A"
"ENSOARG00000010135",1,1,0,"ATXN7"
"ENSOARG00000020237",1,0,1,"TCOF1"
"ENSOARG00000013992",1,0,1,"B3GNT3"
"ENSOARG00000020072",1,0,1,"CDKN2AIP"
"ENSOARG00000008700",1,0,1,"LAMP2"
"ENSOARG00000005660",1,0,1,"-"
"ENSOARG00000013426",1,1,0,"GNB4"
"ENSOARG00000000033",1,1,0,"TXNL4B"
"ENSOARG00000012021",0,1,1,"MAD2L2"
"ENSOARG00000020795",0,1,1,"BBS9"
"ENSOARG00000016798",0,1,1,"ETNK1"
"ENSOARG00000006078",0,1,1,"SYNPO"
"ENSOARG00000008867",0,1,1,"POLR2A"
"ENSOARG00000005655",0,1,1,"TCF4"
"ENSOARG00000010010",0,1,1,"MX1"
"ENSOARG00000013883",0,1,1,"SNX6"
"ENSOARG00000010048",0,1,1,"WLS"
"ENSOARG00000020165",0,1,1,"-"
"ENSOARG00000009087",0,1,1,"ACSS1"
"ENSOARG00000017897",0,1,1,"SLC35E4"
"ENSOARG00000008971",0,1,1,"RNF219"
"ENSOARG00000006123",0,1,1,"INPP5F"
"ENSOARG00000011204",0,1,1,"-"
"ENSOARG00000016505",0,1,1,"TBC1D10A"
"ENSOARG00000010258",0,1,1,"PNPT1"
"ENSOARG00000003510",0,1,1,"ATP8B2"
"ENSOARG00000019788",0,1,1,"DYSF"
"ENSOARG00000006025",0,1,1,"F5"
"ENSOARG00000006042",0,1,1,"POMT2"
"ENSOARG00000007039",0,1,1,"CBX4"
"ENSOARG00000003809",0,1,1,"FLT3LG"
"ENSOARG00000017736",0,1,1,"ZNF148"
"ENSOARG00000014352",0,1,1,"CNOT6L"
"ENSOARG00000018593",0,1,1,"CHAF1B"
"ENSOARG00000015763",0,1,1,"LDLRAD4"
"ENSOARG00000019968",0,1,1,"-"
"ENSOARG00000010810",0,1,1,"ZAN"
"ENSOARG00000021160",0,1,1,"BAZ2A"
"ENSOARG00000020548",0,1,1,"FSIP1"
"ENSOARG00000011030",0,1,1,"SLC25A40"
"ENSOARG00000017288",0,1,1,"ASB13"
"ENSOARG00000016340",0,1,1,"-"
"ENSOARG00000008728",0,1,1,"TAF1A"
"ENSOARG00000009733",0,1,1,"FCHSD2"
"ENSOARG00000013326",0,1,1,"ND6"
"ENSOARG00000019902",0,1,1,"CARD6"
"ENSOARG00000002996",0,1,1,"NT5C3B"
"ENSOARG00000010118",0,1,1,"IL6"
"ENSOARG00000007779",0,1,1,"CIART"
"ENSOARG00000003021",0,1,1,"HMGA2"
"ENSOARG00000015356",0,1,1,"SAT1"
"ENSOARG00000008253",0,1,1,"-"
"ENSOARG00000016535",0,1,1,"COL27A1"
"ENSOARG00000011372",0,1,1,"HES4"
"ENSOARG00000011691",0,1,1,"PLAUR"
"ENSOARG00000018891",0,1,1,"FERMT1"
"ENSOARG00000003484",0,1,1,"MMP28"
"ENSOARG00000008054",0,1,1,"TMEM51"
"ENSOARG00000019033",0,1,1,"AHSA2"
"ENSOARG00000020215",0,1,1,"MFHAS1"
"ENSOARG00000010464",0,1,1,"ARID5A"
"ENSOARG00000010671",0,1,1,"OAT"
"ENSOARG00000002685",0,1,1,"C1RL"
"ENSOARG00000004844",0,1,1,"ZHX2"
"ENSOARG00000015286",0,1,1,"ZUFSP"
"ENSOARG00000000888",0,1,1,"PFKFB4"
"ENSOARG00000011001",0,1,1,"KIF27"
"ENSOARG00000020495",0,1,1,"GPATCH4"
"ENSOARG00000018509",0,1,1,"GRIPAP1"
"ENSOARG00000001273",0,1,1,"CPT1A"
"ENSOARG00000021076",0,1,1,"PGAM5"
"ENSOARG00000009427",0,1,1,"-"
"ENSOARG00000006560",0,1,1,"GNL2"
"ENSOARG00000018897",0,1,1,"SLC26A4"
"ENSOARG00000014311",0,1,1,"SNAP23"
"ENSOARG00000020991",0,1,1,"-"
"ENSOARG00000003257",0,1,1,"ZBTB7A"
"ENSOARG00000001749",0,1,1,"SAMD4B"
"ENSOARG00000011758",0,1,1,"PTGIS"
"ENSOARG00000017359",0,1,1,"-"
"ENSOARG00000002556",0,1,1,"SMAD7"
"ENSOARG00000009363",0,1,1,"RRBP1"
"ENSOARG00000010930",0,1,1,"ADRB2"
"ENSOARG00000000916",0,1,1,"FAM76A"
"ENSOARG00000006198",0,1,1,"HADHA"
"ENSOARG00000002924",0,1,1,"USO1"
"ENSOARG00000013421",0,1,1,"BHLHE41"
"ENSOARG00000013412",0,1,1,"RRS1"
"ENSOARG00000009969",0,1,1,"TRPS1"
"ENSOARG00000018210",0,1,1,"FUT8"
"ENSOARG00000011131",0,1,1,"ETV5"
"ENSOARG00000015214",0,1,1,"-"
"ENSOARG00000013414",0,1,1,"NDUFV3"
"ENSOARG00000006756",0,1,1,"SERTAD3"
"ENSOARG00000004290",0,1,1,"PKDCC"
"ENSOARG00000002045",0,1,1,"PLEKHA3"
"ENSOARG00000004993",0,1,1,"NBAS"
"ENSOARG00000008771",0,1,1,"PAPSS1"
"ENSOARG00000005783",0,1,1,"RELL1"
"ENSOARG00000009131",0,1,1,"DNAJB4"
"ENSOARG00000011149",0,1,1,"PLEK"
"ENSOARG00000009640",0,1,1,"ATP6V0D1"
"ENSOARG00000009641",0,1,1,"VWA5A"
"ENSOARG00000014188",1,0,0,"MANF"
"ENSOARG00000014007",1,0,0,"-"
"ENSOARG00000009391",1,0,0,"ELF4"
"ENSOARG00000014170",1,0,0,"TAPBPL"
"ENSOARG00000004039",1,0,0,"NFXL1"
"ENSOARG00000020092",1,0,0,"SEMA4G"
"ENSOARG00000008438",1,0,0,"SLC12A7"
"ENSOARG00000006239",1,0,0,"-"
"ENSOARG00000010035",1,0,0,"CNP"
"ENSOARG00000020880",1,0,0,"BATF2"
"ENSOARG00000017837",1,0,0,"EMP3"
"ENSOARG00000016941",1,0,0,"TBC1D8B"
"ENSOARG00000010067",1,0,0,"IL18BP"
"ENSOARG00000005448",1,0,0,"ZBTB40"
"ENSOARG00000011997",1,0,0,"RNF121"
"ENSOARG00000019212",1,0,0,"FAM46A"
"ENSOARG00000010224",1,0,0,"-"
"ENSOARG00000008178",1,0,0,"PRR5L"
"ENSOARG00000002962",1,0,0,"ELK3"
"ENSOARG00000005201",1,0,0,"SPTBN5"
"ENSOARG00000000717",1,0,0,"IRF2BPL"
"ENSOARG00000011254",1,0,0,"-"
"ENSOARG00000013204",1,0,0,"ALKBH8"
"ENSOARG00000019733",1,0,0,"VWF"
"ENSOARG00000007144",1,0,0,"LZTS1"
"ENSOARG00000013179",1,0,0,"-"
"ENSOARG00000020697",1,0,0,"MBNL2"
"ENSOARG00000003738",1,0,0,"MSC"
"ENSOARG00000005018",1,0,0,"-"
"ENSOARG00000006758",1,0,0,"DNAJC2"
"ENSOARG00000026129",1,0,0,"SEMA3A"
"ENSOARG00000003189",1,0,0,"HMGN5"
"ENSOARG00000002448",1,0,0,"XAF1"
"ENSOARG00000011500",1,0,0,"-"
"ENSOARG00000002382",1,0,0,"LZIC"
"ENSOARG00000013140",1,0,0,"ENO2"
"ENSOARG00000017771",1,0,0,"RTP4"
"ENSOARG00000006995",1,0,0,"MR1"
"ENSOARG00000017705",1,0,0,"EPS8"
"ENSOARG00000002929",0,1,0,"TXNDC17"
"ENSOARG00000002569",0,1,0,"SAMD4A"
"ENSOARG00000007304",0,1,0,"-"
"ENSOARG00000018536",0,1,0,"PCDH17"
"ENSOARG00000010392",0,1,0,"IFT57"
"ENSOARG00000020279",0,1,0,"-"
"ENSOARG00000004379",0,1,0,"GABPB1"
"ENSOARG00000020535",0,1,0,"TMEM70"
"ENSOARG00000002951",0,1,0,"LGALS3BP"
"ENSOARG00000010857",0,1,0,"PLAGL1"
"ENSOARG00000012715",0,1,0,"GRWD1"
"ENSOARG00000003320",0,1,0,"TMEM184C"
"ENSOARG00000017417",0,1,0,"CKAP4"
"ENSOARG00000005523",0,1,0,"CAV1"
"ENSOARG00000011370",0,1,0,"-"
"ENSOARG00000007663",0,1,0,"-"
"ENSOARG00000015957",0,1,0,"SPATA5L1"
"ENSOARG00000016113",0,1,0,"MOB3C"
"ENSOARG00000001995",0,1,0,"GLRX2"
"ENSOARG00000018154",0,1,0,"AMPD2"
"ENSOARG00000003290",0,1,0,"GRINA"
"ENSOARG00000007199",0,1,0,"CDCP1"
"ENSOARG00000019047",0,1,0,"TNFAIP8L3"
"ENSOARG00000012360",0,1,0,"CPT2"
"ENSOARG00000020448",0,1,0,"CCND3"
"ENSOARG00000002269",0,1,0,"-"
"ENSOARG00000008752",0,1,0,"IFI44L"
"ENSOARG00000025474",0,1,0,"DENND6A"
"ENSOARG00000016748",0,1,0,"ALDH4A1"
"ENSOARG00000019029",0,1,0,"TSR1"
"ENSOARG00000001109",0,1,0,"GMPS"
"ENSOARG00000006851",0,1,0,"UBE2L6"
"ENSOARG00000005238",0,1,0,"PGM2"
"ENSOARG00000020622",0,1,0,"MRPL32"
"ENSOARG00000006337",0,1,0,"TIMP3"
"ENSOARG00000007953",0,1,0,"TRIM14"
"ENSOARG00000001337",0,1,0,"P2RX4"
"ENSOARG00000004164",0,1,0,"SYNJ1"
"ENSOARG00000021043",0,1,0,"SLC25A22"
"ENSOARG00000002585",0,1,0,"NMNAT1"
"ENSOARG00000019266",0,1,0,"PPP1R15B"
"ENSOARG00000015553",0,1,0,"ARSJ"
"ENSOARG00000008904",0,1,0,"ADPGK"
"ENSOARG00000010442",0,1,0,"-"
"ENSOARG00000015437",0,1,0,"IFI35"
"ENSOARG00000003146",0,1,0,"NR3C1"
"ENSOARG00000009837",0,1,0,"DRAM2"
"ENSOARG00000017330",0,1,0,"SPTAN1"
"ENSOARG00000005859",0,1,0,"B3GALT2"
"ENSOARG00000002524",0,1,0,"STXBP1"
"ENSOARG00000018284",0,1,0,"USP48"
"ENSOARG00000018976",0,1,0,"OGFR"
"ENSOARG00000004413",0,1,0,"ZNF710"
"ENSOARG00000019467",0,1,0,"LTBR"
"ENSOARG00000009772",0,1,0,"SRSF7"
"ENSOARG00000011825",0,1,0,"MAPRE2"
"ENSOARG00000008364",0,1,0,"FAM53B"
"ENSOARG00000012415",0,1,0,"MYDGF"
"ENSOARG00000011959",0,1,0,"ZER1"
"ENSOARG00000008343",0,1,0,"AIM1"
"ENSOARG00000010391",0,1,0,"DNMT1"
"ENSOARG00000009453",0,1,0,"LMLN"
"ENSOARG00000015380",0,1,0,"-"
"ENSOARG00000020253",0,1,0,"DCUN1D3"
"ENSOARG00000013553",0,1,0,"HDAC9"
"ENSOARG00000001111",0,0,1,"ID1"
"ENSOARG00000004194",0,0,1,"TIAM2"
"ENSOARG00000019370",0,0,1,"FAM118A"
"ENSOARG00000008953",0,0,1,"PLEKHM2"
"ENSOARG00000009548",0,0,1,"UNK"
"ENSOARG00000018057",0,0,1,"RLIM"
"ENSOARG00000014299",0,0,1,"LHX6"
"ENSOARG00000007213",0,0,1,"ZNF462"
"ENSOARG00000025177",0,0,1,"TNFRSF1A"
"ENSOARG00000013096",0,0,1,"IL18R1"
"ENSOARG00000009947",0,0,1,"TCEAL1"
"ENSOARG00000002461",0,0,1,"CHEK2"
"ENSOARG00000020579",0,0,1,"UBR1"
"ENSOARG00000004469",0,0,1,"TAGAP"
"ENSOARG00000007786",0,0,1,"GADD45G"
"ENSOARG00000006801",0,0,1,"TSKU"
"ENSOARG00000011003",0,0,1,"-"
"ENSOARG00000014926",0,0,1,"ADGRD1"
"ENSOARG00000012299",0,0,1,"TLE1"
"ENSOARG00000008751",0,0,1,"GEMIN6"
"ENSOARG00000019264",0,0,1,"GTF3C2"
"ENSOARG00000005336",0,0,1,"RALGDS"
"ENSOARG00000010882",0,0,1,"SLC37A1"
"ENSOARG00000018471",0,0,1,"HARS"
"ENSOARG00000009413",0,0,1,"CHSY1"
"ENSOARG00000021072",0,0,1,"THEM4"
"ENSOARG00000014018",0,0,1,"-"
"ENSOARG00000009199",0,0,1,"RBM43"
"ENSOARG00000018146",0,0,1,"FICD"
"ENSOARG00000013797",0,0,1,"BIRC8"
"ENSOARG00000009999",0,0,1,"JUN"
"ENSOARG00000001785",0,0,1,"TM2D2"
"ENSOARG00000019011",0,0,1,"LRRFIP1"
"ENSOARG00000016367",0,0,1,"RASSF1"
"ENSOARG00000011742",0,0,1,"HIPK2"
"ENSOARG00000013295",0,0,1,"SDK2"
"ENSOARG00000007727",0,0,1,"BFAR"
"ENSOARG00000005511",0,0,1,"WISP1"
"ENSOARG00000009880",0,0,1,"ZEB2"
"ENSOARG00000019897",0,0,1,"APLF"
"ENSOARG00000016481",0,0,1,"PWWP2B"
"ENSOARG00000017193",0,0,1,"ARHGAP29"
"ENSOARG00000008439",0,0,1,"CDADC1"
"ENSOARG00000008398",0,0,1,"FAT1"
"ENSOARG00000020741",0,0,1,"TNFSF10"
"ENSOARG00000003073",0,0,1,"ABCB10"
"ENSOARG00000006453",0,0,1,"SRRM1"
"ENSOARG00000020061",0,0,1,"UGP2"
"ENSOARG00000014671",0,0,1,"NF1"
"ENSOARG00000014991",0,0,1,"EXTL3"
"ENSOARG00000013342",0,0,1,"BCL2L12"
"ENSOARG00000017077",0,0,1,"ZNF654"
"ENSOARG00000005930",0,0,1,"FIGN"
"ENSOARG00000014176",0,0,1,"CCNA2"
"ENSOARG00000002263",0,0,1,"SRPX2"
"ENSOARG00000015650",0,0,1,"DPYS"
"ENSOARG00000002708",0,0,1,"-"
"ENSOARG00000008610",0,0,1,"-"
"ENSOARG00000019002",0,0,1,"RGS16"
"ENSOARG00000010110",0,0,1,"SLC6A4"
"ENSOARG00000013671",0,0,1,"GADD45B"
"ENSOARG00000020656",0,0,1,"SP100"
"ENSOARG00000000216",0,0,1,"ACTR5"
"ENSOARG00000001464",0,0,1,"CXorf38"
"ENSOARG00000003162",0,0,1,"-"
"ENSOARG00000017763",0,0,1,"MFN2"
"ENSOARG00000006705",0,0,1,"CALCOCO2"
"ENSOARG00000007921",0,0,1,"MCIDAS"
"ENSOARG00000005685",0,0,1,"PLOD2"
"ENSOARG00000007620",0,0,1,"-"
"ENSOARG00000001544",0,0,1,"RIPK1"
"ENSOARG00000005792",0,0,1,"TLR4"
"ENSOARG00000017155",0,0,1,"APPBP2"
"ENSOARG00000002594",0,0,1,"CHM"
"ENSOARG00000003819",0,0,1,"ZNF135"
"ENSOARG00000011664",0,0,1,"-"
"ENSOARG00000004675",0,0,1,"SCN9A"
"ENSOARG00000000588",0,0,1,"ACOT4"
"ENSOARG00000006160",0,0,1,"NSMCE4A"
"ENSOARG00000000349",0,0,1,"FUT10"
"ENSOARG00000005084",0,0,1,"MMP3"
"ENSOARG00000020511",0,0,1,"CAPG"
"ENSOARG00000002175",0,0,1,"DNASE1"
"ENSOARG00000008099",0,0,1,"SAMD11"
"ENSOARG00000007250",0,0,1,"IBTK"
"ENSOARG00000010664",0,0,1,"MID1"
"ENSOARG00000004205",0,0,1,"MOK"
"ENSOARG00000003359",0,0,1,"TBK1"
"ENSOARG00000010471",0,0,1,"SPG20"
"ENSOARG00000008885",0,0,1,"NET1"
"ENSOARG00000020270",0,0,1,"EPHA4"
"ENSOARG00000012744",0,0,1,"NRAP"
"ENSOARG00000006261",0,0,1,"LRP8"
"ENSOARG00000017358",0,0,1,"PMEPA1"
"ENSOARG00000010158",0,0,1,"-"
"ENSOARG00000008030",0,0,1,"PPP2R3A"
"ENSOARG00000014059",0,0,1,"BNC2"
"ENSOARG00000011615",0,0,1,"FOXC2"
"ENSOARG00000007337",0,0,1,"MTCH2"
"ENSOARG00000011571",0,0,1,"PQBP1"
"ENSOARG00000014488",0,0,1,"ERG"
